Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4833,0.5227,0.562,0.6182,0.6575,0.7025,0.7643,0.8261,0.888,0.9554,1.0327,1.1236,1.2144,1.3053,1.4044
Normal,x2HitDMG,ATK,0.4558,0.4929,0.53,0.583,0.6201,0.6625,0.7208,0.7791,0.8374,0.901,0.9739,1.0596,1.1453,1.231,1.3245
Normal,x3HitDMG,ATK,0.6029,0.6519,0.701,0.7711,0.8202,0.8763,0.9534,1.0305,1.1076,1.1917,1.2881,1.4014,1.5148,1.6281,1.7518
Normal,x4HitDMG,ATK,0.6588,0.7124,0.766,0.8426,0.8962,0.9575,1.0418,1.126,1.2103,1.3022,1.4075,1.5314,1.6552,1.7791,1.9142
Normal,x5HitDMG,ATK,0.7921,0.8565,0.921,1.0131,1.0776,1.1513,1.2526,1.3539,1.4552,1.5657,1.6923,1.8413,1.9902,2.1391,2.3016
Normal,ChargedAttackDMG,ATK,1.6202,1.7521,1.884,2.0724,2.2043,2.355,2.5622,2.7695,2.9767,3.2028,3.4618,3.7665,4.0711,4.3758,4.7081
Normal,ChargedAttackStaminaCost,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,SkillDMG,ATK,2.92,3.139,3.358,3.65,3.869,4.088,4.38,4.672,4.964,5.256,5.548,5.84,6.205,6.57,6.935
Skill,StaminaConsumption,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Skill,MaxDuration,ATK,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Skill,CD,ATK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Burst,BurstDMG,ATK,4.248,4.5666,4.8852,5.31,5.6286,5.9472,6.372,6.7968,7.2216,7.6464,8.0712,8.496,9.027,9.558,10.089
Burst,FieldEnteringExitingDMG,ATK,0.784,0.8428,0.9016,0.98,1.0388,1.0976,1.176,1.2544,1.3328,1.4112,1.4896,1.568,1.666,1.764,1.862
Burst,FieldActivationHealing,ATK,17.912,19.6404,21.4988,23.55,25.6684,27.9068,30.338,32.8992,35.5904,38.4116,41.3628,44.434,47.698,51.092,54.616
Burst,ContinuousRegeneration,ATK,1.7912,1.96,2.1489,2.354,2.5628,2.7917,3.0368,3.2919,3.557,3.8422,4.1373,4.4424,4.7738,5.1052,5.4666
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
