Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4498,0.4864,0.523,0.5753,0.6119,0.6538,0.7113,0.7688,0.8263,0.8891,0.961,1.0456,1.1302,1.2147,1.307
Normal,x2HitDMG,ATK,0.4524,0.4892,0.526,0.5786,0.6154,0.6575,0.7154,0.7732,0.8311,0.8942,0.9665,1.0516,1.1366,1.2217,1.3145
Normal,x3HitDMG,ATK,0.5676,0.6138,0.66,0.726,0.7722,0.825,0.8976,0.9702,1.0428,1.122,1.2127,1.3195,1.4262,1.5329,1.6493
Normal,x4HitDMG,ATK,0.6072,0.6566,0.706,0.7766,0.826,0.8825,0.9602,1.0378,1.1155,1.2002,1.2973,1.4114,1.5256,1.6398,1.7643
Normal,x5HitDMG,ATK,0.2837,0.3043,0.325,0.3545,0.3751,0.3988,0.4312,0.4636,0.4961,0.5315,0.5721,0.6198,0.6675,0.7152,0.7672
Normal,ChargedAttackDMG,ATK,1.1765,1.2722,1.368,1.5048,1.6006,1.71,1.8605,2.011,2.1614,2.3256,2.5136,2.7349,2.9562,3.1773,3.4186
Normal,ChargedAttackStaminaCost,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Normal,PlungeDMG,ATK,0.8183,0.8849,0.9516,1.0467,1.1133,1.1894,1.2941,1.3988,1.5035,1.6176,1.7318,1.846,1.9602,2.0744,2.1886
Normal,LowHighPlungeDMG,HP,3.6802,3.9797,4.2793,4.7072,5.0068,5.3491,5.8198,6.2906,6.7613,7.2748,7.7883,8.3018,8.8153,9.3288,9.8423
Skill,PressSkillDMG,ATK,1.92,2.064,2.208,2.4,2.544,2.688,2.88,3.072,3.264,3.456,3.648,3.84,4.08,4.32,4.56
Skill,PressCD,ATK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Skill,HoldSkillDMG,ATK,2.608,2.8036,2.9992,3.26,3.4556,3.6512,3.912,4.1728,4.4336,4.6944,4.9552,5.216,5.542,5.868,6.194
Skill,HoldCD,ATK,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Burst,SlashingDMG,ATK,2.624,2.8208,3.0176,3.28,3.4768,3.6736,3.936,4.1984,4.4608,4.7232,4.9856,5.248,5.576,5.904,6.232
Burst,DoT,ATK,1.2,1.29,1.38,1.5,1.59,1.68,1.8,1.92,2.04,2.16,2.28,2.4,2.55,2.7,2.85
Burst,AdditionalElementalDMG,ATK,0.36,0.387,0.414,0.45,0.477,0.504,0.54,0.576,0.612,0.648,0.684,0.72,0.765,0.81,0.855
Burst,Duration,ATK,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
