Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.5375,0.5813,0.625,0.6875,0.7312,0.7812,0.85,0.9187,0.9875,1.0625,1.1484,1.2495,1.3506,1.4516,1.5619
Normal,x2HitDMG,ATK,0.5169,0.5589,0.601,0.6611,0.7032,0.7513,0.8174,0.8835,0.9496,1.0217,1.1043,1.2015,1.2987,1.3959,1.5019
Normal,x3HitDMG,ATK,0.6527,0.7059,0.759,0.8349,0.888,0.9488,1.0322,1.1157,1.1992,1.2903,1.3947,1.5174,1.6401,1.7629,1.8967
Normal,x4HitDMG,ATK,0.7086,0.7663,0.824,0.9064,0.9641,1.03,1.1206,1.2113,1.3019,1.4008,1.5141,1.6473,1.7806,1.9138,2.0592
Normal,x5HitDMG,ATK,0.8824,0.9542,1.026,1.1286,1.2004,1.2825,1.3954,1.5082,1.6211,1.7442,1.8853,2.0512,2.2171,2.383,2.564
Normal,ChargedAttackDMG,ATK,1.2814,1.3857,1.49,1.639,1.7433,1.8625,2.0264,2.1903,2.3542,2.533,2.7379,2.9788,3.2198,3.4607,3.7236
Normal,ChargedAttackStaminaCost,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,SkillDMG,ATK,1.912,2.0554,2.1988,2.39,2.5334,2.6768,2.868,3.0592,3.2504,3.4416,3.6328,3.824,4.063,4.302,4.541
Skill,CD,ATK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Burst,SkillDMG,ATK,0.776,0.8342,0.8924,0.97,1.0282,1.0864,1.164,1.2416,1.3192,1.3968,1.4744,1.552,1.649,1.746,1.843
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,Duration,ATK,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
