Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4573,0.4945,0.5317,0.5849,0.6221,0.6646,0.7231,0.7816,0.8401,0.9039,0.9677,1.0315,1.0953,1.1591,1.2229
Normal,x2HitDMG,ATK,0.4868,0.5265,0.5661,0.6227,0.6623,0.7076,0.7699,0.8322,0.8944,0.9624,1.0303,1.0982,1.1662,1.2341,1.302
Normal,x3HitDMG,ATK,0.6262,0.6772,0.7282,0.801,0.8519,0.9102,0.9903,1.0704,1.1505,1.2379,1.3253,1.4126,1.5,1.5874,1.6748
Normal,x4HitDMG,ATK,0.2565,0.2749,0.2933,0.3197,0.3381,0.3592,0.3881,0.4171,0.4461,0.4777,0.5093,0.5409,0.5725,0.6041,0.6357
Normal,x5HitDMG,ATK,0.7818,0.8455,0.9091,1,1.0636,1.1364,1.2364,1.3364,1.4364,1.5455,1.6545,1.7636,1.8727,1.9818,2.0909
Normal,ChargedAttackDMG,ATK,0.5813,0.6261,0.671,0.7351,0.78,0.8312,0.9018,0.9723,1.0428,1.1197,1.1966,1.2735,1.3505,1.4274,1.5043
Normal,ChargedAttackStaminaCost,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,SkillDMG,ATK,2.392,2.5714,2.7508,2.99,3.1694,3.3488,3.588,3.8272,4.0664,4.3056,4.5448,4.784,5.083,5.382,5.681
Skill,CD,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Burst,CuttingDMG,ATK,1.123,1.2072,1.2915,1.4037,1.488,1.5722,1.6845,1.7968,1.9091,2.0214,2.1337,2.246,2.3864,2.5268,2.6671
Burst,BloomDMG,ATK,1.6845,1.8108,1.9372,2.1056,2.232,2.3583,2.5268,2.6952,2.8637,3.0321,3.2006,3.369,3.5796,3.7901,4.0007
Burst,Duration,ATK,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
