Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4496,0.4862,0.5228,0.5751,0.6117,0.6535,0.711,0.7685,0.826,0.8888,0.9515,1.0143,1.077,1.1397,1.2025
Normal,x2HitDMG,ATK,0.4716,0.51,0.5483,0.6032,0.6416,0.6854,0.7457,0.8061,0.8664,0.9322,0.998,1.0638,1.1296,1.1954,1.2612
Normal,x3HitDMG,ATK,0.5861,0.6338,0.6815,0.7497,0.7974,0.8519,0.9269,1.0019,1.0768,1.1586,1.2404,1.3222,1.404,1.4858,1.5675
Normal,x4HitDMG,ATK,0.3145,0.3385,0.3624,0.3967,0.4206,0.448,0.4857,0.5234,0.561,0.6021,0.6432,0.6843,0.7254,0.7665,0.8076
Normal,x5HitDMG,ATK,0.756,0.8176,0.8791,0.967,1.0286,1.0989,1.1956,1.2923,1.389,1.4945,1.6,1.7055,1.811,1.9165,2.022
Normal,ChargedAttackDMG,ATK,1.2953,1.4007,1.5062,1.6568,1.7622,1.8827,2.0484,2.2141,2.3797,2.5605,2.7412,2.9219,3.1027,3.2834,3.4642
Normal,ChargedAttackStaminaCost,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,Shunsuiken1HitDMG,ATK,0.5289,0.572,0.615,0.6765,0.7196,0.7688,0.8364,0.904,0.9717,1.0455,1.1193,1.1931,1.2669,1.3407,1.4145
Skill,Shunsuiken2HitDMG,ATK,0.5891,0.637,0.685,0.7535,0.8015,0.8562,0.9316,1.007,1.0823,1.1645,1.2467,1.3289,1.4111,1.4933,1.5755
Skill,Shunsuiken3HitDMG,ATK,0.6493,0.7021,0.755,0.8305,0.8834,0.9438,1.0268,1.1099,1.1929,1.2835,1.3741,1.4647,1.5553,1.6459,1.7365
Skill,TakimeguriKankaDuration,ATK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Skill,NamisenDMGBonus,HP,0.0056,0.0061,0.0065,0.0072,0.0076,0.0082,0.0089,0.0096,0.0103,0.0111,0.0119,0.0127,0.0134,0.0142,0.015
Skill,WaterIllusionDMG,ATK,1.0148,1.0974,1.18,1.298,1.3806,1.475,1.6048,1.7346,1.8644,2.006,2.1476,2.2892,2.4308,2.5724,2.714
Skill,WaterIllusionDuration,ATK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Skill,CD,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,BloomwaterBladeDMG,ATK,0.6646,0.7144,0.7642,0.8307,0.8805,0.9304,0.9968,1.0633,1.1298,1.1962,1.2627,1.3291,1.4122,1.4953,1.5783
Burst,NormalAttackDMGBonus,ATK,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.2,0.2,0.2,0.2,0.2
Burst,Duration,ATK,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
