Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.7619,0.8239,0.8859,0.9745,1.0365,1.1073,1.2048,1.3022,1.3997,1.506,1.6123,1.7186,1.8249,1.9312,2.0375
Normal,x2HitDMG,ATK,0.6964,0.7531,0.8098,0.8907,0.9474,1.0122,1.1013,1.1903,1.2794,1.3766,1.4737,1.5709,1.6681,1.7653,1.8624
Normal,x3HitDMG,ATK,0.8426,0.9112,0.9798,1.0778,1.1463,1.2247,1.3325,1.4403,1.5481,1.6656,1.7832,1.9008,2.0183,2.1359,2.2535
Normal,x4HitDMG,ATK,1.0269,1.1105,1.194,1.3135,1.397,1.4926,1.6239,1.7553,1.8866,2.0299,2.1732,2.3165,2.4597,2.603,2.7463
Normal,ChargedAttackCyclicDMG,ATK,0.5315,0.5747,0.618,0.6798,0.7231,0.7725,0.8405,0.9085,0.9764,1.0506,1.1248,1.1989,1.2731,1.3472,1.4214
Normal,ChargedAttackFinalDMG,ATK,0.9615,1.0397,1.118,1.2298,1.3081,1.3975,1.5205,1.6435,1.7664,1.9006,2.0348,2.1689,2.3031,2.4372,2.5714
Normal,ChargedAttackStaminaCost,ATK,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Normal,MaxDuration,ATK,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Normal,PlungeDMG,ATK,0.7459,0.8066,0.8673,0.954,1.0147,1.0841,1.1795,1.2749,1.3703,1.4744,1.5785,1.6826,1.7866,1.8907,1.9948
Normal,LowHighPlungeDMG,HP,3.3543,3.6273,3.9004,4.2905,4.5635,4.8755,5.3046,5.7335,6.1626,6.6307,7.0987,7.5667,8.0348,8.5028,8.9708
Skill,SkillDMG,ATK,2.04,2.193,2.346,2.55,2.703,2.856,3.06,3.264,3.468,3.672,3.876,4.08,4.335,4.59,4.845
Skill,CD,ATK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Burst,SkillDMG,ATK,1.6,1.72,1.84,2,2.12,2.24,2.4,2.56,2.72,2.88,3.04,3.2,3.4,3.6,3.8
Burst,Duration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,DendroCoreBurstDMGBonus,ATK,0.2749,0.2955,0.3161,0.3436,0.3642,0.3848,0.4123,0.4398,0.4673,0.4948,0.5223,0.5498,0.5841,0.6185,0.6528
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
