Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.9899,1.0704,1.151,1.2661,1.3467,1.4388,1.5654,1.692,1.8186,1.9567,2.0948,2.2329,2.3711,2.5092,2.6473
Normal,x2HitDMG,ATK,0.829,0.8965,0.964,1.0604,1.1279,1.205,1.311,1.4171,1.5231,1.6388,1.7545,1.8702,1.9858,2.1015,2.2172
Normal,x3HitDMG,ATK,1.235,1.3355,1.436,1.5796,1.6801,1.795,1.953,2.1109,2.2689,2.4412,2.6135,2.7858,2.9582,3.1305,3.3028
Normal,MidAirNormalAttackDMG,ATK,1.677,1.8135,1.95,2.145,2.2815,2.4375,2.652,2.8665,3.081,3.315,3.549,3.783,4.017,4.251,4.485
Normal,ChargedAttackDMG,ATK,0.5142,0.5536,0.593,0.6493,0.6887,0.7338,0.7957,0.8576,0.9195,0.9871,1.0547,1.1222,1.1898,1.2573,1.3249
Normal,ChargedAttackStaminaCost,ATK,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Normal,PlungeDMG,ATK,0.7459,0.8066,0.8673,0.954,1.0147,1.0841,1.1795,1.2749,1.3703,1.4744,1.5785,1.6826,1.7866,1.8907,1.9948
Normal,LowHighPlungeDMG,HP,3.3543,3.6273,3.9004,4.2905,4.5635,4.8755,5.3046,5.7335,6.1626,6.6307,7.0987,7.5667,8.0348,8.5028,8.9708
Skill,LoopShotDMG,ATK,0.5928,0.6358,0.6787,0.736,0.779,0.8219,0.8792,0.9365,0.9938,1.051,1.1083,1.1656,1.2372,1.3088,1.3804
Skill,ScalespikerCannonDMG,ATK,6.8744,7.39,7.9056,8.593,9.1086,9.6242,10.3116,10.999,11.6865,12.3739,13.0614,13.7488,14.6081,15.4674,16.3267
Skill,NightsoulPointLimit,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Skill,CD,ATK,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Burst,SkillDMG,ATK,1.34,1.4405,1.541,1.675,1.7755,1.876,2.01,2.144,2.278,2.412,2.546,2.68,2.8475,3.015,3.1825
Burst,DragonBreathDMG,ATK,1.2074,1.2979,1.3885,1.5092,1.5998,1.6903,1.811,1.9318,2.0525,2.1732,2.294,2.4147,2.5656,2.7166,2.8675
Burst,Duration,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,CD,ATK,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Burst,EnergyCost,ATK,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
