Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.479,0.518,0.557,0.6127,0.6517,0.6963,0.7575,0.8188,0.8801,0.9469,1.0137,1.0806,1.1474,1.2143,1.2811
Normal,x2HitDMG,ATK,0.4635,0.5013,0.539,0.5929,0.6306,0.6737,0.733,0.7923,0.8516,0.9163,0.981,1.0457,1.1103,1.175,1.2397
Normal,x3HitDMG,ATK,0.6355,0.6873,0.739,0.8129,0.8647,0.9238,1.005,1.0863,1.1676,1.2563,1.345,1.4337,1.5223,1.611,1.6997
Normal,x4HitDMG,ATK,0.7327,0.7924,0.852,0.9372,0.9968,1.065,1.1587,1.2524,1.3462,1.4484,1.5506,1.6529,1.7551,1.8574,1.9596
Normal,ChargedAttackDMG,ATK,1.1188,1.21,1.301,1.431,1.5222,1.6262,1.7693,1.9125,2.0555,2.2117,2.3678,2.524,2.68,2.8362,2.9923
Normal,ChargedAttackStaminaCost,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,TailFlickingFlyingKickDMG,ATK,1.04,1.118,1.196,1.3,1.378,1.456,1.56,1.664,1.768,1.872,1.976,2.08,2.21,2.34,2.47
Skill,ShieldDMGAbsorption,HP,9.72,10.6875,11.745,12.875,14.0825,15.38,16.75,18.2,19.74,21.35,23.04,24.82,26.6725,28.615,30.6275
Skill,MaxShieldDMGAbsorption,HP,15.57,17.122,18.804,20.62,22.562,24.624,26.83,29.156,31.612,34.198,36.904,39.75,42.72,45.83,49.06
Skill,ShieldDuration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Skill,UrgentNekoParcelHitDMG,ATK,0.336,0.3612,0.3864,0.42,0.4452,0.4704,0.504,0.5376,0.5712,0.6048,0.6384,0.672,0.714,0.756,0.798
Skill,MaxUrgentNekoParcelDuration,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Skill,FlipclawStrikeDMG,ATK,1.44,1.548,1.656,1.8,1.908,2.016,2.16,2.304,2.448,2.592,2.736,2.88,3.06,3.24,3.42
Skill,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,SkillDMG,ATK,5.7024,6.1301,6.5578,7.128,7.5557,7.9834,8.5536,9.1238,9.6941,10.2643,10.8346,11.4048,12.1176,12.8304,13.5432
Burst,CatGrassCardamomExplosionDMG,ATK,0.3564,0.3831,0.4099,0.4455,0.4722,0.499,0.5346,0.5702,0.6059,0.6415,0.6772,0.7128,0.7574,0.8019,0.8464
Burst,CatGrassCardamomDuration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
