Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.7216,0.7757,0.8298,0.902,0.9561,1.0102,1.0824,1.1546,1.2267,1.2989,1.3739,1.4721,1.5702,1.6683,1.7665
Normal,x2HitDMG,ATK,0.624,0.6708,0.7176,0.78,0.8268,0.8736,0.936,0.9984,1.0608,1.1232,1.1881,1.273,1.3578,1.4427,1.5276
Normal,x3HitDMG,ATK,0.8992,0.9666,1.0341,1.124,1.1914,1.2589,1.3488,1.4387,1.5286,1.6186,1.7121,1.8344,1.9567,2.0789,2.2012
Normal,ChargedAttackDMG,ATK,1.5736,1.6916,1.8096,1.967,2.085,2.203,2.3604,2.5178,2.6751,2.8325,2.9961,3.2101,3.4242,3.6382,3.8522
Normal,ChargedAttackStaminaCost,ATK,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,JumpyDumptyDMG,ATK,0.952,1.0234,1.0948,1.19,1.2614,1.3328,1.428,1.5232,1.6184,1.7136,1.8088,1.904,2.023,2.142,2.261
Skill,MineDMG,ATK,0.328,0.3526,0.3772,0.41,0.4346,0.4592,0.492,0.5248,0.5576,0.5904,0.6232,0.656,0.697,0.738,0.779
Skill,MineDuration,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Skill,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,SparksnSplashDMG,ATK,0.4264,0.4584,0.4904,0.533,0.565,0.597,0.6396,0.6822,0.7249,0.7675,0.8102,0.8528,0.9061,0.9594,1.0127
Burst,Duration,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
