Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.3689,0.399,0.429,0.4719,0.5019,0.5362,0.5834,0.6306,0.6778,0.7293,0.7808,0.8323,0.8837,0.9352,0.9867
Normal,x2HitDMG,ATK,0.387,0.4185,0.45,0.495,0.5265,0.5625,0.612,0.6615,0.711,0.765,0.819,0.873,0.927,0.981,1.035
Normal,x3HitDMG,ATK,0.485,0.5245,0.564,0.6204,0.6599,0.705,0.767,0.8291,0.8911,0.9588,1.0265,1.0942,1.1618,1.2295,1.2972
Normal,x4HitDMG,ATK,0.504,0.545,0.586,0.6446,0.6856,0.7325,0.797,0.8614,0.9259,0.9962,1.0665,1.1368,1.2072,1.2775,1.3478
Normal,x5HitDMG,ATK,0.5805,0.6277,0.675,0.7425,0.7897,0.8438,0.918,0.9923,1.0665,1.1475,1.2285,1.3095,1.3905,1.4715,1.5525
Normal,AimedShot,ATK,0.4386,0.4743,0.51,0.561,0.5967,0.6375,0.6936,0.7497,0.8058,0.867,0.9282,0.9894,1.0506,1.1118,1.173
Normal,FullyChargedAimedShot,ATK,1.24,1.333,1.426,1.55,1.643,1.736,1.86,1.984,2.108,2.232,2.356,2.48,2.635,2.79,2.945
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,TenguJuuraiAmbushDMG,ATK,1.2576,1.3519,1.4462,1.572,1.6663,1.7606,1.8864,2.0122,2.1379,2.2637,2.3894,2.5152,2.6724,2.8296,2.9868
Skill,ATKBonusRatio,ATK,0.4296,0.4618,0.494,0.537,0.5692,0.6014,0.6444,0.6874,0.7303,0.7733,0.8162,0.8592,0.9129,0.9666,1.0203
Skill,ATKBonusDuration,ATK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Skill,CD,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Burst,TenguJuuraiTitanbreakerDMG,ATK,4.096,4.4032,4.7104,5.12,5.4272,5.7344,6.144,6.5536,6.9632,7.3728,7.7824,8.192,8.704,9.216,9.728
Burst,TenguJuuraiStormclusterDMG,ATK,0.3412,0.3668,0.3924,0.4265,0.4521,0.4777,0.5118,0.5459,0.58,0.6142,0.6483,0.6824,0.725,0.7677,0.8104
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
