Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.5122,0.5539,0.5956,0.6551,0.6968,0.7444,0.8099,0.8755,0.941,1.0124,1.0839,1.1554,1.2268,1.2983,1.3698
Normal,x2HitDMG,ATK,0.4848,0.5243,0.5638,0.6201,0.6596,0.7047,0.7667,0.8287,0.8907,0.9584,1.026,1.0937,1.1613,1.229,1.2966
Normal,x3HitDMG,ATK,0.7297,0.7891,0.8485,0.9334,0.9928,1.0607,1.154,1.2473,1.3407,1.4425,1.5443,1.6461,1.748,1.8498,1.9516
Normal,ChargedAttackDMG,ATK,1.0028,1.0843,1.166,1.2826,1.3642,1.4576,1.5858,1.7141,1.8423,1.9822,2.1221,2.262,2.402,2.5419,2.6818
Normal,ChargedAttackStaminaCost,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,SkillDMG,ATK,0.128,0.1376,0.1472,0.16,0.1696,0.1792,0.192,0.2048,0.2176,0.2304,0.2432,0.256,0.272,0.288,0.304
Skill,ShootingStarDMG,ATK,0.1472,0.1582,0.1693,0.184,0.195,0.2061,0.2208,0.2355,0.2502,0.265,0.2797,0.2944,0.3128,0.3312,0.3496
Skill,BaseShieldDMGAbsorption,HP,10.508,11.5561,12.6942,13.915,15.2231,16.6212,18.102,19.6728,21.3336,23.0744,24.9052,26.826,28.8295,30.923,33.1065
Skill,ShieldDuration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Skill,CD,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,StarlightSlugDMG,HP,0.0465,0.05,0.0535,0.0581,0.0616,0.0651,0.0697,0.0744,0.079,0.0837,0.0883,0.093,0.0988,0.1046,0.1104
Burst,Duration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,CD,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,EnergyCost,ATK,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
