Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.396,0.4257,0.4554,0.495,0.5247,0.5544,0.594,0.6336,0.6732,0.7128,0.754,0.8078,0.8617,0.9156,0.9694
Normal,x2HitDMG,ATK,0.3592,0.3861,0.4131,0.449,0.4759,0.5029,0.5388,0.5747,0.6106,0.6466,0.6839,0.7328,0.7816,0.8305,0.8793
Normal,x3HitDMG,ATK,0.428,0.4601,0.4922,0.535,0.5671,0.5992,0.642,0.6848,0.7276,0.7704,0.8149,0.8731,0.9313,0.9895,1.0477
Normal,x4HitDMG,ATK,0.5496,0.5908,0.632,0.687,0.7282,0.7694,0.8244,0.8794,0.9343,0.9893,1.0464,1.1212,1.1959,1.2707,1.3454
Normal,ChargedAttackDMG,ATK,1.7712,1.904,2.0369,2.214,2.3468,2.4797,2.6568,2.8339,3.011,3.1882,3.3724,3.6132,3.8541,4.095,4.3359
Normal,ChargedAttackStaminaCost,ATK,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,PressDMG,ATK,0.8,0.86,0.92,1,1.06,1.12,1.2,1.28,1.36,1.44,1.52,1.6,1.7,1.8,1.9
Skill,PressCD,ATK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Skill,NonConductiveHoldDMG,ATK,3.2,3.44,3.68,4,4.24,4.48,4.8,5.12,5.44,5.76,6.08,6.4,6.8,7.2,7.6
Skill,Stack1ConductiveHoldDMG,ATK,3.68,3.956,4.232,4.6,4.876,5.152,5.52,5.888,6.256,6.624,6.992,7.36,7.82,8.28,8.74
Skill,Stack2ConductiveHoldDMG,ATK,4.24,4.558,4.876,5.3,5.618,5.936,6.36,6.784,7.208,7.632,8.056,8.48,9.01,9.54,10.07
Skill,Stack3ConductiveHoldDMG,ATK,4.872,5.2374,5.6028,6.09,6.4554,6.8208,7.308,7.7952,8.2824,8.7696,9.2568,9.744,10.353,10.962,11.571
Skill,HoldingCD,ATK,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Burst,DischargeDMG,ATK,0.3656,0.393,0.4204,0.457,0.4844,0.5118,0.5484,0.585,0.6215,0.6581,0.6946,0.7312,0.7769,0.8226,0.8683
Burst,Duration,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
