Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.3879,0.4194,0.451,0.4961,0.5277,0.5638,0.6134,0.663,0.7126,0.7667,0.8208,0.8749,0.9291,0.9832,1.0373
Normal,x2HitDMG,ATK,0.3801,0.4111,0.442,0.4862,0.5171,0.5525,0.6011,0.6497,0.6984,0.7514,0.8044,0.8575,0.9105,0.9636,1.0166
Normal,x3HitDMG,ATK,0.5452,0.5896,0.634,0.6974,0.7418,0.7926,0.8622,0.932,1.0018,1.0778,1.1538,1.23,1.306,1.3822,1.4582
Normal,x4HitDMG,ATK,0.5693,0.6157,0.662,0.7282,0.7745,0.8275,0.9003,0.9731,1.046,1.1254,1.2048,1.2843,1.3637,1.4432,1.5226
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Normal,AimedShot,ATK,0.4386,0.4743,0.51,0.561,0.5967,0.6375,0.6936,0.7497,0.8058,0.867,0.9282,0.9894,1.0506,1.1118,1.173
Normal,AimedShotChargeLevel1,ATK,1.24,1.333,1.426,1.55,1.643,1.736,1.86,1.984,2.108,2.232,2.356,2.48,2.635,2.79,2.945
Normal,PropArrowDMG,ATK,1.728,1.8576,1.9872,2.16,2.2896,2.4192,2.592,2.7648,2.9376,3.1104,3.2832,3.456,3.672,3.888,4.104
Normal,HPCost,HP,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Normal,GrinMalkinHatInheritedHP,HP,0.64,0.688,0.736,0.8,0.848,0.896,0.96,1.024,1.088,1.152,1.216,1.28,1.36,1.44,1.52
Normal,GrinMalkinHatDuration,ATK,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Normal,PyrotechnicStrikeDMG,ATK,2.12,2.279,2.438,2.65,2.809,2.968,3.18,3.392,3.604,3.816,4.028,4.24,4.505,4.77,5.035
Normal,SpiritbreathThornDMG,ATK,0.2755,0.2962,0.3168,0.3444,0.3651,0.3857,0.4133,0.4408,0.4684,0.4959,0.5235,0.551,0.5855,0.6199,0.6544
Normal,SpiritbreathThornInterval,ATK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Skill,SkillDMG,ATK,1.672,1.7974,1.9228,2.09,2.2154,2.3408,2.508,2.6752,2.8424,3.0096,3.1768,3.344,3.553,3.762,3.971
Skill,SkillDMGBonus,ATK,0.532,0.5719,0.6118,0.665,0.7049,0.7448,0.798,0.8512,0.9044,0.9576,1.0108,1.064,1.1305,1.197,1.2635
Skill,HPRegeneration,HP,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Skill,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,SkillDMG,ATK,1.54,1.6555,1.771,1.925,2.0405,2.156,2.31,2.464,2.618,2.772,2.926,3.08,3.2725,3.465,3.6575
Burst,ExplosiveFireworkDMG,ATK,4.14,4.4505,4.761,5.175,5.4855,5.796,6.21,6.624,7.038,7.452,7.866,8.28,8.7975,9.315,9.8325
Burst,Duration,ATK,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
