Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,NA1ATK,ATK,0.3518,0.3782,0.4046,0.4397,0.4661,0.4925,0.5277,0.5629,0.5980,0.6332,0.6684,0.7036,0.7476,0.7915,0.8355
Normal,NA2ATK,ATK,0.2963,0.3186,0.3408,0.3704,0.3926,0.4149,0.4445,0.4741,0.5038,0.5334,0.5630,0.5927,0.6297,0.6668,0.7038
Normal,NA3ATK,ATK,0.4619,0.4965,0.5312,0.5774,0.6120,0.6466,0.6928,0.7390,0.7852,0.8314,0.8776,0.9238,0.9815,1.0392,1.0970
Normal,ChargedATK,ATK,1.1232,1.2074,1.2917,1.4040,1.4882,1.5725,1.6848,1.7971,1.9094,2.0218,2.1341,2.2464,2.3868,2.5272,2.6676
Normal,PlungeATK,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.8260,0.8987,0.9714,1.0441,1.1234,1.2027,1.2820,1.3612,1.4405,1.5198
Normal,LowPlungeATK,ATK,1.1363,1.2288,1.3213,1.4535,1.5459,1.6516,1.7970,1.9423,2.0877,2.2462,2.4048,2.5634,2.7219,2.8805,3.0390
Normal,HighPlungeATK,ATK,1.4193,1.5349,1.6504,1.8154,1.9310,2.0630,2.2445,2.4261,2.6076,2.8057,3.0037,3.2018,3.3998,3.5979,3.7959
Skill,CastATK,ATK,1.3840,1.4878,1.5916,1.7300,1.8338,1.9376,2.0760,2.2144,2.3528,2.4912,2.6296,2.7680,2.9410,3.1140,3.2870
Skill,ShieldATKRatio,ATK,2.2118,2.3777,2.5436,2.7648,2.9307,3.0966,3.3178,3.5389,3.7601,3.9813,4.2025,4.4237,4.7002,4.9766,5.2531
Skill,ShieldFlat,Flat,1387,1525,1676,1837,2011,2196,2392,2600,2820,3051,3294,3548,3814,4091,4380
Skill,ShieldDuration,Second,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Skill,GraceATKRatio,ATK,0.0825,0.0900,0.0975,0.1050,0.1125,0.1200,0.1275,0.1350,0.1425,0.1500,0.1590,0.1680,0.1770,0.1860,0.1950
Skill,GraceATKCap,Flat,330,360,390,420,450,480,510,540,570,600,636,672,708,744,780
Skill,GraceDuration,Second,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Skill,SkillCooldown,Second,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Burst,CastATK,ATK,3.1680,3.4056,3.6432,3.9600,4.1976,4.4352,4.7520,5.0688,5.3856,5.7024,6.0192,6.3360,6.7320,7.1280,7.5240
Burst,ProjectionATK,ATK,0.9900,1.0800,1.1700,1.2600,1.3500,1.4400,1.5300,1.6200,1.7100,1.8000,1.9080,2.0160,2.1240,2.2320,2.3400
Burst,ProjectionCount,Count,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Burst,ProjectionDuration,Second,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,ProjectionInterval,Second,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Burst,EnergyCost,Energy,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Passive,GuidanceFlatATK,Flat,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
Passive,SelfGuidanceDuration,Second,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Passive,ObserveTime,Second,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Passive,HexereiProjectionFlatATKRatio,ATK,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Constellation,C1UnityATK,ATK,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Constellation,C1UnityCooldown,Second,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Constellation,C2GuidanceResShred,DMG,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Constellation,C4PathfinderATK,ATK,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70
Constellation,C4PathfinderMaxHits,Count,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Constellation,C4PathfinderDuration,Second,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Constellation,C4PathfinderCooldown,Second,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Constellation,C6DefIgnore,DMG,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40
Weapon,R1ATKBonus,ATK,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
Weapon,R1LightPer1000ATK,DMG,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
Weapon,R1LightCap,DMG,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
Weapon,R1EnergyRestore,Energy,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
