"Skill","Param","ScalingType","Level1","Level2","Level3","Level4","Level5","Level6","Level7","Level8","Level9","Level10","Level11","Level12","Level13","Level14","Level15"
"Normal","1HitDMG","ATK","0.5186","0.5608","0.603","0.6633","0.7055","0.7537","0.8201","0.8864","0.9527","1.0251","1.0974","1.1698","1.2422","1.3145","1.3869"
"Normal","2HitDMG","ATK","0.5151","0.557","0.599","0.6589","0.7008","0.7487","0.8146","0.8805","0.9464","1.0182","1.0901","1.162","1.2339","1.3057","1.3776"
"Normal","3HitDMG","ATK","0.7089","0.7666","0.8243","0.9067","0.9645","1.0304","1.121","1.2117","1.3024","1.4013","1.5002","1.5991","1.6981","1.797","1.8959"
"Normal","4HitDMG","ATK","0.7457","0.8064","0.8671","0.9538","1.0145","1.0839","1.1793","1.2747","1.3701","1.4741","1.5782","1.6822","1.7863","1.8903","1.9944"
"Normal","5HitDMG","ATK","0.9021","0.9756","1.049","1.1539","1.2273","1.3112","1.4266","1.542","1.6574","1.7833","1.9091","2.035","2.1609","2.2868","2.4127"
"Normal","ChargedAttackDMG","ATK","1.0741","1.1616","1.249","1.3739","1.4613","1.5612","1.6986","1.836","1.9734","2.1233","2.2732","2.4231","2.5729","2.7228","2.8727"
"Normal","ChargedAttackStaminaCost","ATK","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20"
"Normal","PlungeDMG","ATK","0.6393","0.6914","0.7434","0.8177","0.8698","0.9293","1.011","1.0928","1.1746","1.2638","1.353","1.4422","1.5314","1.6206","1.7098"
"Normal","LowHighPlungeDMG","ATK","2.8752","3.1091","3.3432","3.6775","3.9115","4.179","4.5467","4.9144","5.2822","5.6834","6.0846","6.4858","6.887","7.2881","7.6893"
"Skill","SkillDMG","ATK","1.0808","1.1619","1.2429","1.351","1.4321","1.5131","1.6212","1.7293","1.8374","1.9454","2.0535","2.1616","2.2967","2.4318","2.5669"
"Skill","CodaatDawnsTollingDoT","ATK","0.9584","1.0303","1.1022","1.198","1.2699","1.3418","1.4376","1.5334","1.6293","1.7251","1.821","1.9168","2.0366","2.1564","2.2762"
"Skill","CodaatDawnsTollingStellarConductStellarSwirlDMG","ATK","7.644","8.2173","8.7906","9.555","10.1283","10.7016","11.466","12.2304","12.9948","13.7592","14.5236","15.288","16.2435","17.199","18.1545"
"Skill","PlumeDanceMoveDMG","ATK","0.4304","0.4627","0.495","0.538","0.5703","0.6026","0.6456","0.6886","0.7317","0.7747","0.8178","0.8608","0.9146","0.9684","1.0222"
"Skill","PlumeDanceMoveStellarConductStellarSwirlDMG","ATK","0.6755","0.7262","0.7769","0.8444","0.8951","0.9457","1.0133","1.0808","1.1484","1.2159","1.2835","1.3511","1.4355","1.5199","1.6043"
"Skill","WingDanceMoveDMG","ATK","0.5146","0.5532","0.5918","0.6433","0.6819","0.7205","0.772","0.8234","0.8749","0.9264","0.9778","1.0293","1.0936","1.1579","1.2223"
"Skill","WingDanceMoveStellarConductStellarSwirlDMG","ATK","0.8077","0.8684","0.9289","1.0097","1.0702","1.1309","1.2117","1.2924","1.3732","1.454","1.5347","1.6155","1.7165","1.8174","1.9184"
"Skill","CodaatDawnsTollingCD","ATK","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"Skill","SoloDanceDoubleDuration","ATK","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20"
"Skill","CD","ATK","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"Burst","SlashDMG","ATK","1.1318","1.2144","1.297","1.4072","1.4898","1.5725","1.6826","1.7928","1.903","2.0132","2.1233","2.2335","2.3712","2.509","2.6467"
"Burst","FinalSlashDMG","ATK","1.7027","1.8304","1.9581","2.1284","2.2561","2.3838","2.5541","2.7244","2.8946","3.0649","3.2352","3.4054","3.6183","3.8311","4.044"
"Burst","SnowSwansDreamStellarGlimmerReactionDMGBonus","ATK","0.14","0.18","0.22","0.26","0.3","0.34","0.38","0.42","0.46","0.5","0.54","0.58","0.62","0.66","0.7"
"Burst","SnowSwansDreamDuration","ATK","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20"
"Burst","SoloDanceDoubleDuration","ATK","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20"
"Burst","CD","ATK","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"Burst","EnergyCost","ATK","60","60","60","60","60","60","60","60","60","60","60","60","60","60","60"
