Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.5064,0.5476,0.5889,0.6477,0.689,0.7361,0.8008,0.8656,0.9304,1.0011,1.0717,1.1424,1.2131,1.2837,1.3544
Normal,x2HitDMG,ATK,0.4437,0.4799,0.516,0.5676,0.6037,0.645,0.7017,0.7585,0.8152,0.8771,0.9391,1.001,1.0629,1.1248,1.1867
Normal,x3HitDMG,ATK,0.6982,0.755,0.8119,0.8931,0.9499,1.0148,1.1041,1.1934,1.2828,1.3802,1.4776,1.575,1.6725,1.7699,1.8673
Normal,AimedShot,ATK,0.4386,0.4743,0.51,0.561,0.5967,0.6375,0.6936,0.7497,0.8058,0.867,0.9282,0.9894,1.0506,1.1118,1.173
Normal,FullyChargedAimedShot,ATK,1.24,1.333,1.426,1.55,1.643,1.736,1.86,1.984,2.108,2.232,2.356,2.48,2.635,2.79,2.945
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,SpiritOrbDMG,ATK,1.976,2.1242,2.2724,2.47,2.6182,2.7664,2.964,3.1616,3.3592,3.5568,3.7544,3.952,4.199,4.446,4.693
Skill,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,RitualDMG,ATK,1.7438,1.8746,2.0054,2.1798,2.3106,2.4414,2.6158,2.7901,2.9645,3.1389,3.3133,3.4877,3.7057,3.9236,4.1416
Burst,SoundwaveCollisionDMG,ATK,0.332,0.3569,0.3818,0.415,0.4399,0.4648,0.498,0.5312,0.5644,0.5976,0.6308,0.664,0.7055,0.747,0.7885
Burst,Duration,ATK,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
