Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.3775,0.4083,0.439,0.4829,0.5136,0.5487,0.597,0.6453,0.6936,0.7463,0.799,0.8517,0.9043,0.957,1.0097
Normal,x2HitDMG,ATK,0.3887,0.4204,0.452,0.4972,0.5288,0.565,0.6147,0.6644,0.7142,0.7684,0.8226,0.8769,0.9311,0.9854,1.0396
Normal,x3HitDMG,ATK,0.4834,0.5226,0.562,0.6182,0.6576,0.7024,0.7644,0.8262,0.888,0.9554,1.0228,1.0902,1.1578,1.2252,1.2926
Normal,x4HitDMG,ATK,0.4936,0.5338,0.574,0.6314,0.6716,0.7174,0.7806,0.8438,0.907,0.9758,1.0446,1.1136,1.1824,1.2514,1.3202
Normal,x5HitDMG,ATK,0.6304,0.6817,0.733,0.8063,0.8576,0.9162,0.9969,1.0775,1.1581,1.2461,1.3341,1.422,1.51,1.5979,1.6859
Normal,ChargedAttackDMG,ATK,1.2866,1.3912,1.496,1.6456,1.7504,1.87,2.0346,2.1992,2.3636,2.5432,2.7228,2.9022,3.0818,3.2612,3.4408
Normal,ChargedAttackStaminaCost,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,SkillDMG,ATK,0.96,1.032,1.104,1.2,1.272,1.344,1.44,1.536,1.632,1.728,1.824,1.92,2.04,2.16,2.28
Skill,RegenerationOnHit,ATK,0.7756,0.8535,0.9314,1.022,1.1199,1.2178,1.3184,1.429,1.5495,1.6701,1.8006,1.9312,2.0744,2.2276,2.3808
Skill,ContinuousRegeneration,ATK,5.206,5.7082,6.2404,6.84,7.4522,8.1044,8.814,9.5636,10.3432,11.1628,12.0224,12.922,13.869,14.856,15.883
Skill,HeraldOfFrostDMG,ATK,0.36,0.387,0.414,0.45,0.477,0.504,0.54,0.576,0.612,0.648,0.684,0.72,0.765,0.81,0.855
Skill,Duration,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Skill,CD,ATK,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Burst,SkillDMG,ATK,2.848,3.0616,3.2752,3.56,3.7736,3.9872,4.272,4.5568,4.8416,5.1264,5.4112,5.696,6.052,6.408,6.764
Burst,Healing,ATK,6.67,7.3175,8.015,8.775,9.5625,10.4,11.31,12.27,13.27,14.32,15.42,16.57,17.7925,19.055,20.3775
Burst,Duration,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
