Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.9592,1.0246,1.09,1.1772,1.2426,1.3189,1.417,1.5151,1.6132,1.7113,1.8094,1.9075,2.0056,2.1037,2.2018
Normal,x2HitDMG,ATK,0.8263,0.8827,0.939,1.0141,1.0705,1.1362,1.2207,1.3052,1.3897,1.4742,1.5587,1.6432,1.7278,1.8123,1.8968
Normal,x3HitDMG,ATK,1.0331,1.1036,1.174,1.2679,1.3384,1.4205,1.5262,1.6319,1.7375,1.8432,1.9488,2.0545,2.1602,2.2658,2.3715
Normal,x4HitDMG,ATK,1.3605,1.4532,1.546,1.6697,1.7624,1.8707,2.0098,2.1489,2.2881,2.4272,2.5664,2.7055,2.8446,2.9838,3.1229
Normal,ChargedAttackCyclicDMG,ATK,0.6254,0.6763,0.7272,0.7999,0.8508,0.909,0.989,1.069,1.149,1.2362,1.3235,1.4108,1.498,1.5853,1.6726
Normal,ChargedAttackFinalDMG,ATK,1.1309,1.2229,1.315,1.4465,1.5386,1.6437,1.7884,1.9331,2.0777,2.2355,2.3933,2.5511,2.7089,2.8667,3.0245
Normal,ChargedAttackStaminaCost,ATK,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Normal,MaxDuration,ATK,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Normal,PlungeDMG,ATK,0.8205,0.8872,0.954,1.0494,1.1162,1.1925,1.2975,1.4024,1.5074,1.6219,1.7363,1.8508,1.9653,2.0798,2.1943
Normal,LowHighPlungeDMG,HP,3.6898,3.9901,4.2905,4.7194,5.0198,5.3631,5.835,6.307,6.7789,7.2937,7.8085,8.3235,8.8383,9.3531,9.868
Skill,PressSkillDMG,ATK,1.992,2.1414,2.2908,2.49,2.6394,2.7888,2.988,3.1872,3.3864,3.5856,3.7848,3.984,4.233,4.482,4.731
Skill,HoldSkillDMG,ATK,2.952,3.1734,3.3948,3.69,3.9114,4.1328,4.428,4.7232,5.0184,5.3136,5.6088,5.904,6.273,6.642,7.011
Skill,EnergyRechargeBonus,ATK,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Skill,EnergyRegenerated,ATK,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Skill,ElectroSigilDuration,ATK,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Skill,PressCD,ATK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Skill,HoldCD,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Burst,BurstDMG,ATK,1.6,1.72,1.84,2,2.12,2.24,2.4,2.56,2.72,2.88,3.04,3.2,3.4,3.6,3.8
Burst,SoulCompanionDMG,ATK,0.24,0.258,0.276,0.3,0.318,0.336,0.36,0.384,0.408,0.432,0.456,0.48,0.51,0.54,0.57
Burst,NormalATKSPDBonus,ATK,0.26,0.28,0.3,0.32,0.34,0.36,0.37,0.38,0.39,0.4,0.4,0.4,0.4,0.4,0.4
Burst,ElectroRESBonus,ATK,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Burst,Duration,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
