Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.5246,0.5673,0.61,0.671,0.7137,0.7625,0.8296,0.8967,0.9638,1.037,1.1102,1.1834,1.2566,1.3298,1.403
Normal,x2HitDMG,ATK,0.516,0.558,0.6,0.66,0.702,0.75,0.816,0.882,0.948,1.02,1.092,1.164,1.236,1.308,1.38
Normal,x3HitDMG,ATK,0.3382,0.3641,0.39,0.427,0.4529,0.4825,0.5232,0.5639,0.6046,0.649,0.6934,0.7378,0.7822,0.8266,0.871
Normal,x4HitDMG,ATK,0.6966,0.7533,0.81,0.891,0.9477,1.0125,1.1016,1.1907,1.2798,1.377,1.4742,1.5714,1.6686,1.7658,1.863
Normal,x5HitDMG,ATK,0.8462,0.9151,0.984,1.0824,1.1513,1.23,1.3382,1.4465,1.5547,1.6728,1.7909,1.909,2.027,2.1451,2.2632
Normal,ChargedAttackDMG,ATK,1.3674,1.4787,1.59,1.749,1.8603,1.9875,2.1624,2.3373,2.5122,2.703,2.8938,3.0846,3.2754,3.4662,3.657
Normal,ChargedAttackStaminaCost,ATK,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,SkillDMG,ATK,1.944,2.0898,2.2356,2.43,2.5758,2.7216,2.916,3.1104,3.3048,3.4992,3.6936,3.888,4.131,4.374,4.617
Skill,CD,ATK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Burst,SkillDMG,ATK,2.56,2.752,2.944,3.2,3.392,3.584,3.84,4.096,4.352,4.608,4.864,5.12,5.44,5.76,6.08
Burst,IceLanceDoT,ATK,1.32,1.419,1.518,1.65,1.749,1.848,1.98,2.112,2.244,2.376,2.508,2.64,2.805,2.97,3.135
Burst,Duration,ATK,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
