Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,N1DMG,ATK,0.7629,0.8250,0.8870,0.9758,1.0378,1.1088,1.2064,1.3040,1.4015,1.5080,1.6144,1.7209,1.8273,1.9338,2.0402
Normal,N2DMG,ATK,0.6720,0.7267,0.7814,0.8595,0.9142,0.9767,1.0626,1.1486,1.2345,1.3283,1.4221,1.5158,1.6096,1.7034,1.7971
Normal,N3DMG,ATK,1.0280,1.1117,1.1954,1.3149,1.3986,1.4942,1.6257,1.7572,1.8887,2.0322,2.1756,2.3191,2.4625,2.6060,2.7494
Normal,ChargedSweepDMG,ATK,0.4300,0.4650,0.5000,0.5500,0.5850,0.6250,0.6800,0.7350,0.7900,0.8500,0.9100,0.9700,1.0300,1.0900,1.1500
Normal,CondensedBeamDMG,ATK,0.9030,0.9765,1.0500,1.1550,1.2285,1.3125,1.4280,1.5435,1.6590,1.7850,1.9110,2.0370,2.1630,2.2890,2.4150
Normal,CondensedBeamStellarDMG,ATK,0.6020,0.6510,0.7000,0.7700,0.8190,0.8750,0.9520,1.0290,1.1060,1.1900,1.2740,1.3580,1.4420,1.5260,1.6100
Normal,OverdriveDMG,ATK,0.4300,0.4650,0.5000,0.5500,0.5850,0.6250,0.6800,0.7350,0.7900,0.8500,0.9100,0.9700,1.0300,1.0900,1.1500
Skill,PrismShotDMG,ATK,0.3240,0.3483,0.3726,0.4050,0.4293,0.4536,0.4860,0.5184,0.5508,0.5832,0.6156,0.6480,0.6885,0.7290,0.7695
Skill,PrismShotStellarDMG,ATK,0.2160,0.2322,0.2484,0.2700,0.2862,0.3024,0.3240,0.3456,0.3672,0.3888,0.4104,0.4320,0.4590,0.4860,0.5130
Skill,SkillDuration,Second,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Skill,SkillCooldown,Second,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Burst,BombardmentDMG,ATK,0.8822,0.9483,1.0145,1.1027,1.1689,1.2350,1.3232,1.4115,1.4997,1.5879,1.6761,1.7643,1.8746,1.9849,2.0951
Burst,BombardmentHitCount,Count,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Burst,RayDMG,ATK,2.6400,2.8380,3.0360,3.3000,3.4980,3.6960,3.9600,4.2240,4.4880,4.7520,5.0160,5.2800,5.6100,5.9400,6.2700
Burst,RayStellarDMG,ATK,1.7600,1.8920,2.0240,2.2000,2.3320,2.4640,2.6400,2.8160,2.9920,3.1680,3.3440,3.5200,3.7400,3.9600,4.1800
Burst,BurstCooldown,Second,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,Energy,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Passive,BeamPowerGainOnHit,Point,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
Passive,BeamPowerGainPerSecond,Point,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Passive,NonDecodingPowerDecayPerSecond,Point,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Passive,OverdriveShotPowerLoss,Point,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Passive,OverdriveExitThreshold,Point,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
