Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.5261,0.569,0.6118,0.673,0.7158,0.7647,0.832,0.8993,0.9666,1.04,1.1135,1.1869,1.2603,1.3337,1.4071
Normal,x2HitDMG,ATK,0.5041,0.545,0.5861,0.6447,0.6857,0.7327,0.7971,0.8615,0.9261,0.9964,1.0667,1.137,1.2074,1.2777,1.348
Normal,x3HitDMG,ATK,0.7399,0.8001,0.8603,0.9463,1.0066,1.0754,1.17,1.2647,1.3593,1.4625,1.5658,1.669,1.7722,1.8755,1.9787
Normal,AimedShot,ATK,0.4386,0.4743,0.51,0.561,0.5967,0.6375,0.6936,0.7497,0.8058,0.867,0.9282,0.9894,1.0506,1.1118,1.173
Normal,AimedShotChargeLevel1,ATK,1.24,1.333,1.426,1.55,1.643,1.736,1.86,1.984,2.108,2.232,2.356,2.48,2.635,2.79,2.945
Normal,ShadowpiercingShotDMG,EM,2.7456,2.9515,3.1574,3.432,3.6379,3.8438,4.1184,4.393,4.6675,4.9421,5.2166,5.4912,5.8344,6.1776,6.5208
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,SkillDMG,ATK,1.156,1.2427,1.3294,1.445,1.5317,1.6184,1.734,1.8496,1.9652,2.0808,2.1964,2.312,2.4565,2.601,2.7455
Skill,EnergyRegeneration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Skill,CD,ATK,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Burst,DuskBoltDMGIncrease,EM,1.9616,2.1087,2.2558,2.452,2.5991,2.7462,2.9424,3.1386,3.3347,3.5309,3.727,3.9232,4.1684,4.4136,4.6588
Burst,TwilightMeditationDuration,ATK,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
