Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4326,0.4678,0.503,0.5533,0.5885,0.6288,0.6841,0.7394,0.7947,0.8551,0.9155,0.9758,1.0362,1.0965,1.1569
Normal,x2HitDMG,ATK,0.4025,0.4352,0.468,0.5148,0.5476,0.585,0.6365,0.688,0.7394,0.7956,0.8518,0.9079,0.9641,1.0202,1.0764
Normal,x3HitDMG,ATK,0.5332,0.5766,0.62,0.682,0.7254,0.775,0.8432,0.9114,0.9796,1.054,1.1284,1.2028,1.2772,1.3516,1.426
Normal,x4HitDMG,ATK,0.5264,0.5692,0.612,0.6732,0.716,0.765,0.8324,0.8996,0.967,1.0404,1.1138,1.1872,1.2608,1.3342,1.4076
Normal,x5HitDMG,ATK,0.6562,0.7096,0.763,0.8393,0.8927,0.9538,1.0377,1.1216,1.2055,1.2971,1.3887,1.4802,1.5718,1.6633,1.7549
Normal,ChargedAttackDMG,ATK,1.1067,1.1968,1.2869,1.4156,1.5057,1.6086,1.7502,1.8917,2.0333,2.1877,2.3422,2.4966,2.651,2.8054,2.9599
Normal,ChargedAttackStaminaCost,ATK,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,PressSkillDMG,ATK,1.392,1.4964,1.6008,1.74,1.8444,1.9488,2.088,2.2272,2.3664,2.5056,2.6448,2.784,2.958,3.132,3.306
Skill,HoldSkillDMG,ATK,1.888,2.0296,2.1712,2.36,2.5016,2.6432,2.832,3.0208,3.2096,3.3984,3.5872,3.776,4.012,4.248,4.484
Skill,DMGBonus,ATK,0.4566,0.4908,0.525,0.5707,0.6049,0.6392,0.6848,0.7305,0.7762,0.8218,0.8675,0.9131,0.9702,1.0273,1.0843
Skill,PressHoldDuration,ATK,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Skill,PressHoldTriggerQuota,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Skill,PressCD,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Skill,HoldCD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,SkillDMG,ATK,1.008,1.0836,1.1592,1.26,1.3356,1.4112,1.512,1.6128,1.7136,1.8144,1.9152,2.016,2.142,2.268,2.394
Burst,RESDecrease,ATK,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.15,0.15,0.15,0.15,0.15
Burst,DoT,ATK,0.3312,0.356,0.3809,0.414,0.4388,0.4637,0.4968,0.5299,0.563,0.5962,0.6293,0.6624,0.7038,0.7452,0.7866
Burst,Duration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
