Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4128,0.4464,0.48,0.528,0.5616,0.6,0.6528,0.7056,0.7584,0.816,0.8736,0.9312,0.9888,1.0464,1.104
Normal,x2HitDMG,ATK,0.4627,0.5003,0.538,0.5918,0.6295,0.6725,0.7317,0.7909,0.85,0.9146,0.9792,1.0437,1.1083,1.1728,1.2374
Normal,x3HitDMG,ATK,0.5538,0.5989,0.644,0.7084,0.7535,0.805,0.8758,0.9467,1.0175,1.0948,1.1721,1.2494,1.3266,1.4039,1.4812
Normal,x4HitDMG,ATK,0.5702,0.6166,0.663,0.7293,0.7757,0.8288,0.9017,0.9746,1.0475,1.1271,1.2067,1.2862,1.3658,1.4453,1.5249
Normal,x5HitDMG,ATK,0.6089,0.6584,0.708,0.7788,0.8284,0.885,0.9629,1.0408,1.1186,1.2036,1.2886,1.3735,1.4585,1.5434,1.6284
Normal,x6HitDMG,ATK,0.7276,0.7868,0.846,0.9306,0.9898,1.0575,1.1506,1.2436,1.3367,1.4382,1.5397,1.6412,1.7428,1.8443,1.9458
Normal,AimedShot,ATK,0.4386,0.4743,0.51,0.561,0.5967,0.6375,0.6936,0.7497,0.8058,0.867,0.9282,0.9894,1.0506,1.1118,1.173
Normal,FullyChargedAimedShot,ATK,1.24,1.333,1.426,1.55,1.643,1.736,1.86,1.984,2.108,2.232,2.356,2.48,2.635,2.79,2.945
Normal,RiptideFlashDMG,DEF,0.154,0.1633,0.1726,0.185,0.1943,0.2036,0.216,0.2284,0.2408,0.2532,0.2656,0.278,0.2935,0.309,0.3245
Normal,RiptideBurstDMG,ATK,0.62,0.6665,0.713,0.775,0.8215,0.868,0.93,0.992,1.054,1.116,1.178,1.24,1.3175,1.395,1.4725
Normal,RiptideDuration,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,StanceChangeDMG,ATK,0.72,0.774,0.828,0.9,0.954,1.008,1.08,1.152,1.224,1.296,1.368,1.44,1.53,1.62,1.71
Skill,x1HitDMG,ATK,0.3887,0.4204,0.452,0.4972,0.5288,0.565,0.6147,0.6644,0.7142,0.7684,0.8226,0.8769,0.9311,0.9854,1.0396
Skill,x2HitDMG,ATK,0.4162,0.4501,0.484,0.5324,0.5663,0.605,0.6582,0.7115,0.7647,0.8228,0.8809,0.939,0.997,1.0551,1.1132
Skill,x3HitDMG,ATK,0.5633,0.6091,0.655,0.7205,0.7663,0.8188,0.8908,0.9628,1.0349,1.1135,1.1921,1.2707,1.3493,1.4279,1.5065
Skill,x4HitDMG,ATK,0.5994,0.6482,0.697,0.7667,0.8155,0.8712,0.9479,1.0246,1.1013,1.1849,1.2685,1.3522,1.4358,1.5195,1.6031
Skill,x5HitDMG,ATK,0.553,0.598,0.643,0.7073,0.7523,0.8037,0.8745,0.9452,1.0159,1.0931,1.1703,1.2474,1.3246,1.4017,1.4789
Skill,x6HitDMG,ATK,0.731,0.7905,0.85,0.935,0.9945,1.0625,1.156,1.2495,1.343,1.445,1.547,1.649,1.751,1.853,1.955
Skill,ChargedAttackDMG,ATK,1.3218,1.4294,1.537,1.6907,1.7983,1.9212,2.0903,2.2594,2.4285,2.6129,2.7973,2.9818,3.1662,3.3507,3.5351
Skill,ChargedAttackStaminaCost,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Skill,RiptideSlash,ATK,0.602,0.651,0.7,0.77,0.819,0.875,0.952,1.029,1.106,1.19,1.274,1.358,1.442,1.526,1.61
Skill,MaxDuration,ATK,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Skill,PreemptiveCD,ATK,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
Skill,MaxCD,ATK,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
Burst,SkillDMGMelee,ATK,4.64,4.988,5.336,5.8,6.148,6.496,6.96,7.424,7.888,8.352,8.816,9.28,9.86,10.44,11.02
Burst,SkillDMGRanged,ATK,3.784,4.0678,4.3516,4.73,5.0138,5.2976,5.676,6.0544,6.4328,6.8112,7.1896,7.568,8.041,8.514,8.987
Burst,RiptideBlastDMG,ATK,1.2,1.29,1.38,1.5,1.59,1.68,1.8,1.92,2.04,2.16,2.28,2.4,2.55,2.7,2.85
Burst,EnergyReturnRanged,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
