Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4463,0.4827,0.519,0.5709,0.6072,0.6488,0.7058,0.7629,0.82,0.8823,0.9446,1.0069,1.0691,1.1314,1.1937
Normal,x2HitDMG,ATK,0.4197,0.4538,0.488,0.5368,0.571,0.61,0.6637,0.7174,0.771,0.8296,0.8882,0.9467,1.0053,1.0638,1.1224
Normal,x3HitDMG,ATK,0.2845,0.306,0.3275,0.3583,0.3798,0.4044,0.4382,0.472,0.5059,0.5428,0.5797,0.6165,0.6534,0.6904,0.7272
Normal,x4HitDMG,ATK,0.6863,0.7421,0.798,0.8778,0.9337,0.9975,1.0853,1.1731,1.2608,1.3566,1.4524,1.5481,1.6439,1.7396,1.8354
Normal,AimedShot,ATK,0.4386,0.4743,0.51,0.561,0.5967,0.6375,0.6936,0.7497,0.8058,0.867,0.9282,0.9894,1.0506,1.1118,1.173
Normal,Level1AimedShot,ATK,1.24,1.333,1.426,1.55,1.643,1.736,1.86,1.984,2.108,2.232,2.356,2.48,2.635,2.79,2.945
Normal,WreathArrowDMG,ATK,0.872,0.9374,1.0028,1.09,1.1554,1.2208,1.308,1.3952,1.4824,1.5696,1.6568,1.744,1.853,1.962,2.071
Normal,ClusterbloomArrowDMG,ATK,0.386,0.415,0.4439,0.4825,0.5114,0.5404,0.579,0.6176,0.6562,0.6948,0.7334,0.772,0.8202,0.8685,0.9168
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,SkillDMG,ATK,1.496,1.6082,1.7204,1.87,1.9822,2.0944,2.244,2.3936,2.5432,2.6928,2.8424,2.992,3.179,3.366,3.553
Skill,VijnanaKhandaFieldDuration,ATK,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Skill,VijnanaSuffusionDuration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Skill,CD,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,TanglevineShaftDMG,ATK,0.5562,0.5979,0.6396,0.6952,0.737,0.7787,0.8343,0.8899,0.9455,1.0012,1.0568,1.1124,1.1819,1.2514,1.321
Burst,SecondaryTanglevineShaftDMG,ATK,0.6798,0.7308,0.7818,0.8497,0.9007,0.9517,1.0197,1.0877,1.1557,1.2236,1.2916,1.3596,1.4446,1.5295,1.6145
Burst,CD,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,EnergyCost,ATK,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
