Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.6546,0.7079,0.7612,0.8373,0.8906,0.9514,1.0352,1.1189,1.2026,1.294,1.3853,1.4766,1.568,1.6593,1.7507
Normal,x2HitDMG,ATK,0.6854,0.7412,0.7969,0.8766,0.9325,0.9962,1.0839,1.1715,1.2592,1.3548,1.4505,1.5461,1.6417,1.7374,1.8331
Normal,x3HitDMG,ATK,0.9268,1.0022,1.0777,1.1854,1.2608,1.3471,1.4655,1.5841,1.7026,1.832,1.9612,2.0906,2.2199,2.3492,2.4785
Normal,x4HitDMG,ATK,0.8528,0.9222,0.9917,1.0908,1.1602,1.2395,1.3486,1.4577,1.5668,1.6857,1.8048,1.9237,2.0428,2.1617,2.2808
Normal,x5HitDMG,ATK,1.0731,1.1604,1.2477,1.3725,1.4599,1.5597,1.6969,1.8342,1.9715,2.1212,2.2709,2.4206,2.5704,2.7201,2.8698
Normal,ChargedAttackDMG,ATK,1.3175,1.4248,1.532,1.6852,1.7925,1.915,2.0835,2.252,2.4206,2.6044,2.7883,2.9721,3.1559,3.3397,3.5236
Normal,ChargedAttackStaminaCost,ATK,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Normal,PlungeDMG,ATK,0.7459,0.8066,0.8673,0.954,1.0147,1.0841,1.1795,1.2749,1.3703,1.4744,1.5785,1.6826,1.7866,1.8907,1.9948
Normal,LowHighPlungeDMG,HP,3.3543,3.6273,3.9004,4.2905,4.5635,4.8755,5.3046,5.7335,6.1626,6.6307,7.0987,7.5667,8.0348,8.5028,8.9708
Skill,SkillDMG,ATK,2.784,2.9928,3.2016,3.48,3.6888,3.8976,4.176,4.4544,4.7328,5.0112,5.2896,5.568,5.916,6.264,6.612
Skill,PressCD,ATK,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Skill,HoldCD,ATK,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Skill,SturmUndDrangDuration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Skill,SturmUndDrang1HitDMG,ATK,0.8182,0.8848,0.9514,1.0466,1.1132,1.1893,1.294,1.3986,1.5033,1.6175,1.7316,1.8458,1.96,2.0742,2.1883
Skill,SturmUndDrang2HitDMG,ATK,0.8568,0.9265,0.9962,1.0958,1.1655,1.2452,1.3548,1.4644,1.574,1.6935,1.8131,1.9326,2.0522,2.1717,2.2912
Skill,SturmUndDrang3HitDMG,ATK,1.1585,1.2528,1.3471,1.4817,1.576,1.6838,1.832,1.9801,2.1283,2.29,2.4516,2.6132,2.7749,2.9365,3.0982
Skill,SturmUndDrang4HitDMG,ATK,1.066,1.1528,1.2395,1.3635,1.4503,1.5494,1.6857,1.8221,1.9585,2.1072,2.256,2.4046,2.5534,2.7022,2.8509
Skill,SturmUndDrang5HitDMG,ATK,1.3414,1.4505,1.5597,1.7157,1.8249,1.9497,2.1212,2.2928,2.4643,2.6515,2.8386,3.0258,3.2129,3.4002,3.5874
Skill,SturmUndDrangChargedAttackDMG,ATK,1.6469,1.7809,1.915,2.1065,2.2406,2.3937,2.6044,2.8151,3.0257,3.2555,3.4853,3.7151,3.9449,4.1747,4.4045
Skill,FourWindsAscensionDMG,ATK,2.704,2.9068,3.1096,3.38,3.5828,3.7856,4.056,4.3264,4.5968,4.8672,5.1376,5.408,5.746,6.084,6.422
Skill,AzureDevourDMG,ATK,1.48,1.588,1.696,1.84,1.948,2.056,2.2,2.344,2.488,2.632,2.776,2.92,3.1,3.28,3.46
Skill,FourWindsAscensionCD,ATK,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Burst,Skill1HitDMG,ATK,3.3696,3.6223,3.875,4.212,4.4647,4.7174,5.0544,5.3914,5.7283,6.0653,6.4022,6.7392,7.1604,7.5816,8.0028
Burst,Skill2HitDMG,ATK,1.8144,1.9505,2.0866,2.268,2.4041,2.5402,2.7216,2.903,3.0845,3.2659,3.4474,3.6288,3.8556,4.0824,4.3092
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
