Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4076,0.4408,0.474,0.5214,0.5546,0.5924,0.6446,0.6968,0.749,0.8058,0.871,0.9476,1.0242,1.101,1.1846
Normal,x2HitDMG,ATK,0.4438,0.4799,0.516,0.5676,0.6037,0.645,0.7018,0.7585,0.8153,0.8772,0.9481,1.0316,1.115,1.1985,1.2895
Normal,x3HitDMG,ATK,0.5237,0.5664,0.609,0.6699,0.7125,0.7613,0.8282,0.8952,0.9622,1.0353,1.119,1.2175,1.316,1.4145,1.5219
Normal,x4HitDMG,ATK,0.5212,0.5636,0.606,0.6666,0.709,0.7574,0.8242,0.8908,0.9574,1.0302,1.1136,1.2116,1.3096,1.4074,1.5144
Normal,x5HitDMG,ATK,0.5065,0.5478,0.589,0.6479,0.6891,0.7362,0.801,0.8658,0.9306,1.0013,1.0823,1.1775,1.2728,1.368,1.4719
Normal,x6HitDMG,ATK,0.7095,0.7673,0.825,0.9075,0.9653,1.0312,1.122,1.2127,1.3035,1.4025,1.5159,1.6493,1.7827,1.9161,2.0617
Normal,AimedShot,ATK,0.4386,0.4743,0.51,0.561,0.5967,0.6375,0.6936,0.7497,0.8058,0.867,0.9371,1.0196,1.1021,1.1845,1.2745
Normal,FullyChargedAimedShot,ATK,1.24,1.333,1.426,1.55,1.643,1.736,1.86,1.984,2.108,2.232,2.361,2.5296,2.6982,2.8669,3.0355
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Normal,WindsunderArrowDMG,ATK,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3
Skill,PressDMG,ATK,2.76,2.967,3.174,3.45,3.657,3.864,4.14,4.416,4.692,4.968,5.244,5.52,5.865,6.21,6.555
Skill,PressCD,ATK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Skill,HoldDMG,ATK,3.8,4.085,4.37,4.75,5.035,5.32,5.7,6.08,6.46,6.84,7.22,7.6,8.075,8.55,9.025
Skill,HoldCD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,DoT,ATK,0.376,0.4042,0.4324,0.47,0.4982,0.5264,0.564,0.6016,0.6392,0.6768,0.7144,0.752,0.799,0.846,0.893
Burst,AdditionalElementalDMG,ATK,0.188,0.2021,0.2162,0.235,0.2491,0.2632,0.282,0.3008,0.3196,0.3384,0.3572,0.376,0.3995,0.423,0.4465
Burst,Duration,ATK,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
