Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.6871,0.7431,0.799,0.8789,0.9348,0.9987,1.0866,1.1745,1.2624,1.3583,1.4542,1.5501,1.6459,1.7418,1.8377
Normal,x2HitDMG,ATK,0.6502,0.7031,0.756,0.8316,0.8845,0.945,1.0282,1.1113,1.1945,1.2852,1.3759,1.4666,1.5574,1.6481,1.7388
Normal,x3HitDMG,ATK,0.9528,1.0304,1.108,1.2188,1.2964,1.385,1.5068,1.6288,1.7506,1.8836,2.0166,2.1496,2.2824,2.4154,2.5484
Normal,ChargedAttackDMG,ATK,1.3208,1.4199,1.5189,1.651,1.7501,1.8491,1.9812,2.1133,2.2454,2.3774,2.5095,2.6416,2.8067,2.9718,3.1369
Normal,ChargedAttackStaminaCost,ATK,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,SkillDMG,ATK,0.952,1.0234,1.0948,1.19,1.2614,1.3328,1.428,1.5232,1.6184,1.7136,1.8088,1.904,2.023,2.142,2.261
Skill,KuugoFushoudanDMG,ATK,1.3298,1.3496,1.3693,1.395,1.4147,1.4345,1.4602,1.4858,1.5115,1.5372,1.5629,1.5885,1.6142,1.6399,1.6656
Skill,KuugoToufukaiDMG,ATK,1.2639,1.2797,1.2955,1.316,1.3318,1.3476,1.3681,1.3887,1.4092,1.4298,1.4503,1.4708,1.4914,1.5119,1.5325
Skill,InitialKuugoryokuPoints,ATK,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Skill,CD,ATK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Burst,SkillDMG,ATK,1.522,1.6324,1.7428,1.89,2.0004,2.1108,2.258,2.4052,2.5524,2.6996,2.8468,2.994,3.178,3.362,3.546
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
