Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.5336,0.577,0.6205,0.6825,0.7259,0.7756,0.8438,0.9121,0.9803,1.0548,1.1292,1.2037,1.2781,1.3526,1.4271
Normal,x2HitDMG,ATK,0.518,0.5601,0.6023,0.6625,0.7047,0.7529,0.8191,0.8854,0.9517,1.0239,1.0962,1.1685,1.2408,1.313,1.3853
Normal,x3HitDMG,ATK,0.6722,0.7269,0.7817,0.8598,0.9145,0.9771,1.0631,1.149,1.235,1.3288,1.4226,1.5164,1.6102,1.704,1.7978
Normal,x4HitDMG,ATK,0.758,0.8198,0.8814,0.9696,1.0314,1.1018,1.1988,1.2958,1.3928,1.4986,1.6044,1.71,1.8158,1.9216,2.0274
Normal,x5HitDMG,ATK,0.9074,0.9813,1.0551,1.1607,1.2345,1.3189,1.435,1.5511,1.6671,1.7937,1.9204,2.047,2.1736,2.3002,2.4268
Normal,ChargedAttackDMG,ATK,1.5296,1.6443,1.759,1.912,2.0267,2.1414,2.2944,2.4474,2.6003,2.7533,2.9062,3.0592,3.2504,3.4416,3.6328
Normal,ChargedAttackStaminaCost,ATK,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,EnhancedRepellingFistDMG,ATK,1.4317,1.4575,1.4834,1.517,1.5429,1.5687,1.6023,1.6359,1.6695,1.7031,1.7367,1.7703,1.8039,1.8375,1.8711
Skill,HPCost,HP,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045
Skill,Duration,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Skill,CD,ATK,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Burst,SkillDMG,ATK,1.322,1.4174,1.5128,1.64,1.7354,1.8308,1.958,2.0852,2.2124,2.3396,2.4668,2.594,2.753,2.912,3.071
Burst,SurgingBladeDMG,ATK,0.424,0.4558,0.4876,0.53,0.5618,0.5936,0.636,0.6784,0.7208,0.7632,0.8056,0.848,0.901,0.954,1.007
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,SurgingBladeCD,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
