Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.4205,0.4548,0.489,0.5379,0.5721,0.6112,0.665,0.7188,0.7726,0.8313,0.8985,0.9776,1.0567,1.1358,1.222
Normal,x2HitDMG,ATK,0.4214,0.4557,0.49,0.539,0.5733,0.6125,0.6664,0.7203,0.7742,0.833,0.9004,0.9796,1.0588,1.1381,1.2245
Normal,x3HitDMG,ATK,0.5212,0.5636,0.606,0.6666,0.709,0.7574,0.8242,0.8908,0.9574,1.0302,1.1136,1.2116,1.3096,1.4074,1.5144
Normal,x4HitDMG,ATK,0.181,0.1925,0.204,0.2204,0.2319,0.245,0.263,0.2811,0.2991,0.3188,0.3413,0.3679,0.3944,0.4209,0.4498
Normal,x5HitDMG,ATK,0.7104,0.7682,0.826,0.9086,0.9664,1.0325,1.1234,1.2142,1.3051,1.4042,1.5178,1.6513,1.7849,1.9185,2.0642
Normal,ChargedAttackDMG,ATK,1.2169,1.316,1.415,1.5565,1.6556,1.7687,1.9244,2.08,2.2357,2.4055,2.6001,2.8289,3.0577,3.2865,3.5361
Normal,ChargedAttackStaminaCost,ATK,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Normal,PlungeDMG,ATK,0.6393,0.6914,0.7434,0.8177,0.8698,0.9293,1.011,1.0928,1.1746,1.2638,1.353,1.4422,1.5314,1.6206,1.7098
Normal,LowHighPlungeDMG,HP,2.8752,3.1091,3.3432,3.6775,3.9115,4.179,4.5467,4.9144,5.2822,5.6834,6.0846,6.4858,6.887,7.2881,7.6893
Skill,FlameDMG,ATK,1.1128,1.1963,1.2797,1.391,1.4745,1.5579,1.6692,1.7805,1.8918,2.003,2.1143,2.2256,2.3647,2.5038,2.6429
Skill,CD,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Burst,x1HitSwingDMG,ATK,0.72,0.774,0.828,0.9,0.954,1.008,1.08,1.152,1.224,1.296,1.368,1.44,1.53,1.62,1.71
Burst,x2HitSwingDMG,ATK,0.88,0.946,1.012,1.1,1.166,1.232,1.32,1.408,1.496,1.584,1.672,1.76,1.87,1.98,2.09
Burst,x3HitSwingDMG,ATK,1.096,1.1782,1.2604,1.37,1.4522,1.5344,1.644,1.7536,1.8632,1.9728,2.0824,2.192,2.329,2.466,2.603
Burst,PyronadoDMG,ATK,1.12,1.204,1.288,1.4,1.484,1.568,1.68,1.792,1.904,2.016,2.128,2.24,2.38,2.52,2.66
Burst,Duration,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Burst,CD,ATK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Burst,EnergyCost,ATK,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
