Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,NA1ATK,ATK,0.403024,0.433251,0.463478,0.50378,0.534007,0.564234,0.604536,0.644838,0.685141,0.725443,0.765746,0.806048,0.856426,0.906804,0.957182
Normal,NA2ATK,ATK,0.388552,0.417693,0.446835,0.48569,0.514831,0.543973,0.582828,0.621683,0.660538,0.699394,0.738249,0.777104,0.825673,0.874242,0.922811
Normal,NA3ATK,ATK,0.488776,0.525434,0.562092,0.61097,0.647628,0.684286,0.733164,0.782042,0.830919,0.879797,0.928674,0.977552,1.038649,1.099746,1.160843
Normal,NA4ATK,ATK,0.649168,0.697856,0.746543,0.81146,0.860148,0.908835,0.973752,1.038669,1.103586,1.168502,1.233419,1.298336,1.379482,1.460628,1.541774
Normal,ChargedATK,ATK,1.2312,1.32354,1.41588,1.539,1.63134,1.72368,1.8468,1.96992,2.09304,2.21616,2.33928,2.4624,2.6163,2.7702,2.9241
Normal,PlungeATK,ATK,0.568288,0.614544,0.6608,0.72688,0.773136,0.826,0.898688,0.971376,1.044064,1.12336,1.202656,1.281952,1.361248,1.440544,1.51984
Normal,LowPlungeATK,ATK,1.136335,1.228828,1.32132,1.453452,1.545944,1.65165,1.796995,1.94234,2.087686,2.246244,2.404802,2.563361,2.721919,2.880478,3.039036
Normal,HighPlungeATK,ATK,1.419344,1.534872,1.6504,1.81544,1.930968,2.063,2.244544,2.426088,2.607632,2.80568,3.003728,3.201776,3.399824,3.597872,3.79592
Skill,SkyladderATK,ATK,0.248,0.2666,0.2852,0.31,0.3286,0.3472,0.372,0.3968,0.4216,0.4464,0.4712,0.496,0.527,0.558,0.589
Skill,Driftcloud1ATK,ATK,1.16,1.247,1.334,1.45,1.537,1.624,1.74,1.856,1.972,2.088,2.204,2.32,2.465,2.61,2.755
Skill,Driftcloud2ATK,ATK,1.48,1.591,1.702,1.85,1.961,2.072,2.22,2.368,2.516,2.664,2.812,2.96,3.145,3.33,3.515
Skill,Driftcloud3ATK,ATK,3.376,3.6292,3.8824,4.22,4.4732,4.7264,5.064,5.4016,5.7392,6.0768,6.4144,6.752,7.174,7.596,8.018
Skill,Cooldown,Second,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
