Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.7654,0.8277,0.89,0.979,1.0413,1.1125,1.2104,1.3083,1.4062,1.513,1.6198,1.7266,1.8334,1.9402,2.047
Normal,x2HitDMG,ATK,0.7396,0.7998,0.86,0.946,1.0062,1.075,1.1696,1.2642,1.3588,1.462,1.5652,1.6684,1.7716,1.8748,1.978
Normal,x3HitDMG,ATK,0.9546,1.0323,1.11,1.221,1.2987,1.3875,1.5096,1.6317,1.7538,1.887,2.0202,2.1534,2.2866,2.4198,2.553
Normal,x4HitDMG,ATK,1.1584,1.2527,1.347,1.4817,1.576,1.6838,1.8319,1.9801,2.1283,2.2899,2.4515,2.6132,2.7748,2.9365,3.0981
Normal,ChargedAttackCyclicDMG,ATK,0.6255,0.6764,0.7273,0.8,0.8509,0.9091,0.9891,1.0691,1.1491,1.2364,1.3236,1.4109,1.4982,1.5855,1.6727
Normal,ChargedAttackFinalDMG,ATK,1.1309,1.2229,1.315,1.4465,1.5386,1.6437,1.7884,1.9331,2.0777,2.2355,2.3933,2.5511,2.7089,2.8667,3.0245
Normal,ChargedAttackStaminaCost,ATK,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Normal,MaxDuration,ATK,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Normal,PlungeDMG,ATK,0.7459,0.8066,0.8673,0.954,1.0147,1.0841,1.1795,1.2749,1.3703,1.4744,1.5785,1.6826,1.7866,1.8907,1.9948
Normal,LowHighPlungeDMG,HP,3.3543,3.6273,3.9004,4.2905,4.5635,4.8755,5.3046,5.7335,6.1626,6.6307,7.0987,7.5667,8.0348,8.5028,8.9708
Skill,SwingDMG,ATK,1.696,1.8232,1.9504,2.12,2.2472,2.3744,2.544,2.7136,2.8832,3.0528,3.2224,3.392,3.604,3.816,4.028
Skill,ShieldLevel1DMGAbsorption,DEF,6.0504,6.6284,7.2465,7.9305,8.6385,9.3866,10.2006,11.0546,11.9487,12.8827,13.8668,14.8908,15.9809,17.1109,18.2809
Skill,ShieldLevel2DMGAbsorption,DEF,7.114,7.7958,8.5276,9.33,10.1618,11.0336,11.996,12.9984,14.0508,15.1632,16.3156,17.518,18.801,20.124,21.507
Skill,ShieldLevel3DMGAbsorption,DEF,8.37,9.168,10.026,10.98,11.958,12.986,14.11,15.294,16.538,17.832,19.196,20.61,22.11,23.68,25.3
Skill,DoT,ATK,0.336,0.3612,0.3864,0.42,0.4452,0.4704,0.504,0.5376,0.5712,0.6048,0.6384,0.672,0.714,0.756,0.798
Skill,ShieldDuration,ATK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Skill,CD,ATK,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Burst,SkillDMG,ATK,3.408,3.6636,3.9192,4.26,4.5156,4.7712,5.112,5.4528,5.7936,6.1344,6.4752,6.816,7.242,7.668,8.094
Burst,PyroDoT,ATK,0.4,0.43,0.46,0.5,0.53,0.56,0.6,0.64,0.68,0.72,0.76,0.8,0.85,0.9,0.95
Burst,Duration,ATK,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
