Skill,Param,ScalingType,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15
Normal,x1HitDMG,ATK,0.3764,0.4007,0.425,0.4574,0.4817,0.51,0.5465,0.583,0.6194,0.6559,0.6923,0.7288,0.7652,0.8017,0.8381
Normal,x2HitDMG,ATK,0.6838,0.7304,0.777,0.8392,0.8858,0.9402,1.0101,1.08,1.15,1.2199,1.2898,1.3598,1.4297,1.4996,1.5695
Normal,x3HitDMG,ATK,0.8889,0.9495,1.0101,1.0909,1.1515,1.2222,1.3131,1.404,1.4949,1.5859,1.6768,1.7677,1.8586,1.9495,2.0404
Normal,x4HitDMG,ATK,0.4842,0.5158,0.5475,0.5897,0.6214,0.6583,0.7058,0.7532,0.8007,0.8482,0.8956,0.9431,0.9906,1.0381,1.0855
Normal,x5HitDMG,ATK,1.0586,1.1308,1.203,1.2992,1.3714,1.4556,1.5639,1.6722,1.7804,1.8887,1.997,2.1052,2.2135,2.3218,2.4301
Normal,AimedShot,ATK,0.4386,0.4743,0.51,0.561,0.5967,0.6375,0.6936,0.7497,0.8058,0.867,0.9282,0.9894,1.0506,1.1118,1.173
Normal,FullyChargedAimedShot,ATK,1.24,1.333,1.426,1.55,1.643,1.736,1.86,1.984,2.108,2.232,2.356,2.48,2.635,2.79,2.945
Normal,KindlingArrowDMG,ATK,0.164,0.1763,0.1886,0.205,0.2173,0.2296,0.246,0.2624,0.2788,0.2952,0.3116,0.328,0.3485,0.369,0.3895
Normal,PlungeDMG,ATK,0.5683,0.6145,0.6608,0.7269,0.7731,0.826,0.8987,0.9714,1.0441,1.1234,1.2027,1.282,1.3612,1.4405,1.5198
Normal,LowHighPlungeDMG,HP,2.5556,2.7637,2.9717,3.2689,3.4769,3.7146,4.0415,4.3684,4.6953,5.0519,5.4085,5.7652,6.1217,6.4784,6.8349
Skill,BlazingArrowDMG,ATK,1.3791,1.4018,1.4245,1.454,1.4767,1.4994,1.5289,1.5584,1.5879,1.6174,1.647,1.6765,1.706,1.7355,1.765
Skill,Duration,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Skill,CD,ATK,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Burst,SkillDMG,ATK,1.272,1.3674,1.4628,1.59,1.6854,1.7808,1.908,2.0352,2.1624,2.2896,2.4168,2.544,2.703,2.862,3.021
Burst,AurousBlazeExplosionDMG,ATK,1.22,1.3115,1.403,1.525,1.6165,1.708,1.83,1.952,2.074,2.196,2.318,2.44,2.5925,2.745,2.8975
Burst,Duration,ATK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Burst,CD,ATK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Burst,EnergyCost,ATK,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
